"Type","V1","V2"
"Repeatability",78.590348124595,78.6086657964855
"Repeatability",78.590348124595,79.017949622128
"Repeatability",78.590348124595,78.0992092766531
"Repeatability",78.590348124595,77.9260869787391
"Repeatability",78.590348124595,78.6934652316521
"Repeatability",78.590348124595,78.9489097609257
"Repeatability",78.6086657964855,79.017949622128
"Repeatability",78.6086657964855,78.0992092766531
"Repeatability",78.6086657964855,77.9260869787391
"Repeatability",78.6086657964855,78.6934652316521
"Repeatability",78.6086657964855,78.9489097609257
"Repeatability",79.017949622128,78.0992092766531
"Repeatability",79.017949622128,77.9260869787391
"Repeatability",79.017949622128,78.6934652316521
"Repeatability",79.017949622128,78.9489097609257
"Repeatability",78.0992092766531,77.9260869787391
"Repeatability",78.0992092766531,78.6934652316521
"Repeatability",78.0992092766531,78.9489097609257
"Repeatability",77.9260869787391,78.6934652316521
"Repeatability",77.9260869787391,78.9489097609257
"Repeatability",78.6934652316521,78.9489097609257
"Repeatability",77.4027872536617,78.3995532335599
"Repeatability",77.4027872536617,78.1150599237996
"Repeatability",78.3995532335599,78.1150599237996
"Repeatability",78.2170732230783,76.5860250810052
"Repeatability",78.2170732230783,78.5974395672696
"Repeatability",76.5860250810052,78.5974395672696
"Repeatability",77.3881477991333,76.8678900913496
"Repeatability",77.3881477991333,78.2802247556802
"Repeatability",76.8678900913496,78.2802247556802
"Repeatability",78.4737798323379,78.4757280305165
"Repeatability",78.4737798323379,79.2246327253874
"Repeatability",78.4757280305165,79.2246327253874
"Repeatability",78.4219176775287,77.1084240149886
"Repeatability",78.4219176775287,78.5275288479768
"Repeatability",77.1084240149886,78.5275288479768
"Repeatability",77.3351247301662,77.9279694715245
"Repeatability",77.3351247301662,76.9991106309496
"Repeatability",77.9279694715245,76.9991106309496
"Reproducibility",77.9260869787391,76.5860250810052
"Reproducibility",77.9260869787391,76.8678900913496
"Reproducibility",77.9260869787391,76.9991106309496
"Reproducibility",77.9260869787391,77.1084240149886
"Reproducibility",77.9260869787391,77.3351247301662
"Reproducibility",77.9260869787391,77.3881477991333
"Reproducibility",77.9260869787391,77.4027872536617
"Reproducibility",77.9260869787391,77.9279694715245
"Reproducibility",77.9260869787391,78.1150599237996
"Reproducibility",77.9260869787391,78.2170732230783
"Reproducibility",77.9260869787391,78.2802247556802
"Reproducibility",77.9260869787391,78.3995532335599
"Reproducibility",77.9260869787391,78.4219176775287
"Reproducibility",77.9260869787391,78.4737798323379
"Reproducibility",77.9260869787391,78.4757280305165
"Reproducibility",77.9260869787391,78.5275288479768
"Reproducibility",77.9260869787391,78.5974395672696
"Reproducibility",77.9260869787391,79.2246327253874
"Reproducibility",78.0992092766531,76.5860250810052
"Reproducibility",78.0992092766531,76.8678900913496
"Reproducibility",78.0992092766531,76.9991106309496
"Reproducibility",78.0992092766531,77.1084240149886
"Reproducibility",78.0992092766531,77.3351247301662
"Reproducibility",78.0992092766531,77.3881477991333
"Reproducibility",78.0992092766531,77.4027872536617
"Reproducibility",78.0992092766531,77.9279694715245
"Reproducibility",78.0992092766531,78.1150599237996
"Reproducibility",78.0992092766531,78.2170732230783
"Reproducibility",78.0992092766531,78.2802247556802
"Reproducibility",78.0992092766531,78.3995532335599
"Reproducibility",78.0992092766531,78.4219176775287
"Reproducibility",78.0992092766531,78.4737798323379
"Reproducibility",78.0992092766531,78.4757280305165
"Reproducibility",78.0992092766531,78.5275288479768
"Reproducibility",78.0992092766531,78.5974395672696
"Reproducibility",78.0992092766531,79.2246327253874
"Reproducibility",78.590348124595,76.5860250810052
"Reproducibility",78.590348124595,76.8678900913496
"Reproducibility",78.590348124595,76.9991106309496
"Reproducibility",78.590348124595,77.1084240149886
"Reproducibility",78.590348124595,77.3351247301662
"Reproducibility",78.590348124595,77.3881477991333
"Reproducibility",78.590348124595,77.4027872536617
"Reproducibility",78.590348124595,77.9279694715245
"Reproducibility",78.590348124595,78.1150599237996
"Reproducibility",78.590348124595,78.2170732230783
